symbol	company_name	LastSale	MarketCap	IPOyear	Sector	industry	quote
FLWS	1-800 FLOWERS.COM, Inc.	9.28	$607.21M	1999	Consumer Services	Other Specialty Stores	http://www.nasdaq.com/symbol/flws
SRCE	1st Source Corporation	35.34	$914.14M	n/a	Finance	Major Banks	http://www.nasdaq.com/symbol/srce
VNET	21Vianet Group, Inc.	9.37	$1.07B	2011	Technology	Computer Software: Programming, Data Processing	http://www.nasdaq.com/symbol/vnet
TWOU	2U, Inc.	35.79	$1.68B	2014	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/twou
JOBS	51job, Inc.	33.33	$1.98B	2004	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/jobs
CAFD	8point3 Energy Partners LP	15.56	$1.1B	2015	Public Utilities	Electric Utilities: Central	http://www.nasdaq.com/symbol/cafd
EGHT	8x8 Inc	13.48	$1.21B	n/a	Public Utilities	Telecommunications Equipment	http://www.nasdaq.com/symbol/eght
AVHI	A V Homes, Inc.	16.08	$364.44M	n/a	Capital Goods	Homebuilding	http://www.nasdaq.com/symbol/avhi
SHLM	A. Schulman, Inc.	26.51	$780.17M	1972	Basic Industries	Major Chemicals	http://www.nasdaq.com/symbol/shlm
AAON	AAON, Inc.	28.99	$1.53B	n/a	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/aaon
ABAX	ABAXIS, Inc.	49.5	$1.12B	1992	Capital Goods	Industrial Machinery/Components	http://www.nasdaq.com/symbol/abax
ABMD	ABIOMED, Inc.	117.43	$5.05B	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/abmd
ACIA	Acacia Communications, Inc.	113.14	$4.05B	2016	Technology	Semiconductors	http://www.nasdaq.com/symbol/acia
ACTG	Acacia Research Corporation	7	$352.68M	n/a	Miscellaneous	Multi-Sector Companies	http://www.nasdaq.com/symbol/actg
ACHC	Acadia Healthcare Company, Inc.	51.61	$4.51B	n/a	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/achc
ACAD	ACADIA Pharmaceuticals Inc.	31.59	$3.6B	1985	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/acad
ACST	Acasti Pharma, Inc.	1.345	$14.41M	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/acst
ARAY	Accuray Incorporated	5.42	$442.13M	2007	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/aray
OILD	AccuShares S&P GSCI Crude Oil Excess Return Down Shares	23.15	$2.32M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/oild
OILU	AccuShares S&P GSCI Crude Oil Excess Return Up Shares	25.25	$2.53M	n/a	n/a	n/a	http://www.nasdaq.com/symbol/oilu
VXDN	AccuShares Spot CBOE VIX Down Shares	4.42	$567329.1	n/a	n/a	n/a	http://www.nasdaq.com/symbol/vxdn
VXUP	AccuShares Spot CBOE VIX Up Shares	4.3001	$551939.34	n/a	n/a	n/a	http://www.nasdaq.com/symbol/vxup
ACET	Aceto Corporation	20	$592.97M	n/a	Health Care	Other Pharmaceuticals	http://www.nasdaq.com/symbol/acet
ACHN	Achillion Pharmaceuticals, Inc.	8.12	$1.11B	2006	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/achn
ACIW	ACI Worldwide, Inc.	19.54	$2.29B	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/aciw
ACRS	Aclaris Therapeutics, Inc.	20.86	$446.73M	2015	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/acrs
