symbol	company_name	LastSale	MarketCap	IPOyear	Sector	industry	quote
DDD	3D Systems Corporation	14.92	$1.67B	n/a	Technology	Computer Software: Prepackaged Software	http://www.nasdaq.com/symbol/ddd
MMM	3M Company	180.81	$109.28B	n/a	Health Care	Medical/Dental Instruments	http://www.nasdaq.com/symbol/mmm
WBAI	500.com Limited	18.44	$763.88M	2013	Consumer Services	Services-Misc. Amusement & Recreation	http://www.nasdaq.com/symbol/wbai
WUBA	58.com Inc.	47.17	$6.8B	2013	Technology	Computer Software: Programming, Data Processing	http://www.nasdaq.com/symbol/wuba
AHC	A.H. Belo Corporation	6.15	$133.31M	n/a	Consumer Services	Newspapers/Magazines	http://www.nasdaq.com/symbol/ahc
ATEN	A10 Networks, Inc.	10.07	$662.33M	2014	Technology	Computer Communications Equipment	http://www.nasdaq.com/symbol/aten
AAC	AAC Holdings, Inc.	20.05	$475.21M	2014	Health Care	Medical Specialities	http://www.nasdaq.com/symbol/aac
AIR	AAR Corp.	29.03	$1.01B	n/a	Capital Goods	Aerospace	http://www.nasdaq.com/symbol/air
AAN	Aaron&#39;s,  Inc.	24.78	$1.8B	n/a	Technology	Diversified Commercial Services	http://www.nasdaq.com/symbol/aan
ABB	ABB Ltd	22.21	$47.24B	n/a	Consumer Durables	Electrical Products	http://www.nasdaq.com/symbol/abb
ABT	Abbott Laboratories	42.09	$61.87B	n/a	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/abt
ABBV	AbbVie Inc.	64.12	$104.42B	2012	Health Care	Major Pharmaceuticals	http://www.nasdaq.com/symbol/abbv
ANF	Abercrombie & Fitch Company	17.02	$1.15B	n/a	Consumer Services	Clothing/Shoe/Accessory Stores	http://www.nasdaq.com/symbol/anf
GCH	Aberdeen Greater China Fund, Inc.	9.2	$83.34M	1992	n/a	n/a	http://www.nasdaq.com/symbol/gch
JEQ	Aberdeen Japan Equity Fund, Inc. 	8.15	$110.84M	1992	n/a	n/a	http://www.nasdaq.com/symbol/jeq
SGF	Aberdeen Singapore Fund, Inc.	9.151	$69.76M	1990	n/a	n/a	http://www.nasdaq.com/symbol/sgf
ABM	ABM Industries Incorporated	38.91	$2.18B	n/a	Finance	Diversified Commercial Services	http://www.nasdaq.com/symbol/abm
AKR	Acadia Realty Trust	36.99	$2.8B	n/a	Consumer Services	Real Estate Investment Trusts	http://www.nasdaq.com/symbol/akr
ACN	Accenture plc	115.66	$74.57B	2001	Miscellaneous	Business Services	http://www.nasdaq.com/symbol/acn
ACCO	Acco Brands Corporation	10.34	$1.11B	n/a	Consumer Durables	Publishing	http://www.nasdaq.com/symbol/acco
ACW	Accuride Corporation New	2.58	$124.47M	n/a	Capital Goods	Auto Parts:O.E.M.	http://www.nasdaq.com/symbol/acw
ATV	Acorn International, Inc.	7.8339	$29.98M	2007	Consumer Services	Other Specialty Stores	http://www.nasdaq.com/symbol/atv
ATU	Actuant Corporation	24.23	$1.43B	n/a	Technology	Industrial Machinery/Components	http://www.nasdaq.com/symbol/atu
AYI	Acuity Brands Inc	274	$12.03B	n/a	Consumer Durables	Building Products	http://www.nasdaq.com/symbol/ayi
